Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,Microsoft.NETCore.Platforms 7.0.4,,,,,"Microsoft.NETCore.Platforms, 7.0.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,Microsoft.Win32.Primitives 4.3.0,,,,,"Microsoft.Win32.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,Microsoft.Xaml.Behaviors.Wpf 1.1.135,,,,,"Microsoft.Xaml.Behaviors.Wpf, 1.1.135  Recommendation:  Microsoft.Xaml.Behaviors.Wpf, 1.1.39"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,NETStandard.Library 2.0.3,,,,,"NETStandard.Library, 2.0.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,System.AppContext 4.3.0,,,,,"System.AppContext, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,System.Collections 4.3.0,,,,,"System.Collections, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,System.Collections.Concurrent 4.3.0,,,,,"System.Collections.Concurrent, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,System.Collections.Immutable 9.0.1,,,,,"System.Collections.Immutable, 9.0.1  Recommendation:  Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,System.Configuration.ConfigurationManager 9.0.1,,,,,"System.Configuration.ConfigurationManager, 9.0.1  Recommendation:  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MVS\MVS.csproj,File,MVS\MVS.csproj,,,System.Console 4.3.1,,,,,"System.Console, 4.3.1  Recommendation:  Package functionality included with new framework reference"
