Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
0,0.0,25,200,,,
0.25,0.0,25,200,,,
0.5,0.0,25,200,,,
0.75,0.0,25,200,,,
1,0.0,25,200,,,
1.25,0.0,25,200,,,
1.5,0.0,25,200,,,
1.75,0.0,25,200,,,
2,0.0,25,200,,,
2.25,0.0,25,200,,,
2.5,0.0,25,200,,,
2.75,0.0,25,200,,,
3,0.1,25,200,,,
3.25,0.1,25,200,,,
3.5,0.1,25,200,,,
3.75,0.1,25,200,,,
4,0.1,25,200,,,
4.25,0.1,25,200,,,
4.5,0.1,25,200,,,
4.75,0.1,25,200,,,
5,0.1,25,200,,,
5.25,0.1,25,200,,,
5.5,0.1,25,200,,,
5.75,0.1,25,200,,,
6,0.1,25,200,,,
6.25,0.1,25,200,,,
6.5,0.1,25,200,,,
6.75,0.1,25,200,,,
7,0.1,25,200,,,
7.25,0.1,25,200,,,
7.5,0.1,25,200,,,
7.75,0.1,25,200,,,
8,0.1,25,200,,,
8.25,0.1,25,200,,,
8.5,0.1,25,200,,,
8.75,0.1,25,200,,,
9,0.2,25,200,,,
9.25,0.2,25,200,,,
9.5,0.2,25,200,,,
9.75,0.2,25,200,,,
10,0.2,25,200,,,
10.25,0.2,25,200,,,
10.5,0.2,25,200,,,
10.75,0.2,25,200,,,
11,0.2,25,200,,,
11.25,0.2,25,200,,,
11.5,0.2,25,200,,,
11.75,0.2,25,200,,,
12,0.2,25,200,,,
12.25,0.2,25,200,,,
12.5,0.2,25,200,,,
12.75,0.2,25,200,,,
13,0.2,25,200,,,
13.25,0.2,25,200,,,
13.5,0.2,25,200,,,
13.75,0.2,25,200,,,
14,0.2,25,200,,,
14.25,0.2,25,200,,,
14.5,0.2,25,200,,,
14.75,0.2,25,200,,,
15,0.3,25,200,,,
15.25,0.3,25,200,,,
15.5,0.3,25,200,,,
15.75,0.3,25,200,,,
16,0.3,25,200,,,
16.25,0.3,25,200,,,
16.5,0.3,25,200,,,
16.75,0.3,25,200,,,
17,0.3,25,200,,,
