Time(s),Time(m),"Roll (deg, +ve R)","Pitch (deg, +ve UP)",Heave (m),Heave Velocity (m/s),AX (m/s^2),AY (m/s^2),AZ (m/s^2),Vessel heading (degT),SOG (knots),COG (M deg),STATUS_MRU (1=OK),STATUS_GYRO (1=OK),STATUS_WIND (1=OK),STATUS_GPS (SOG_VOG) (1=OK),GPS Lat,GPS Lon,Visibility,Air Pressure,Air Temperature,Air Humidity,WX code,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct
0,0,0.3,-0.2,0.828,0.848,-0.04,-0.116,10.094,330.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
0.5,0,0.4,-0.3,1.161,0.828,-0.013,-0.188,10.014,330.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
1,0,0.5,-0.4,1.407,0.752,0.034,-0.223,9.91,330.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
1.5,0,0.6,-0.5,1.55,0.629,0.08,-0.224,9.801,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
2,0,0.7,-0.6,1.58,0.449,0.147,-0.184,9.656,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
2.5,0,0.8,-0.7,1.488,0.224,0.207,-0.108,9.515,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
3,0.1,0.9,-0.8,1.271,-0.047,0.275,-0.024,9.341,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
3.5,0.1,1,-0.9,0.931,-0.347,0.316,0.056,9.213,330.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
4,0.1,1.1,-1,0.484,-0.651,0.349,0.147,9.111,330.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
4.5,0.1,1.2,-1.1,-0.043,-0.926,0.349,0.231,9.095,330.27,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
5,0.1,1.3,-1.2,-0.607,-1.127,0.315,0.338,9.164,330.27,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
5.5,0.1,1.4,-1.3,-1.151,-1.223,0.234,0.401,9.34,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
6,0.1,1.5,-1.4,-1.613,-1.178,0.128,0.436,9.59,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
6.5,0.1,1.6,-1.5,-1.932,-0.996,0.01,0.384,9.895,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
7,0.1,1.7,-1.6,-2.057,-0.668,-0.111,0.277,10.225,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
7.5,0.1,1.8,-1.7,-1.958,-0.252,-0.189,0.134,10.472,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
8,0.1,1.9,-1.8,-1.637,0.213,-0.258,-0.003,10.681,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
8.5,0.1,2,-1.9,-1.122,0.657,-0.255,-0.137,10.712,330.27,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
9,0.2,2.1,-2,-0.476,1.022,-0.245,-0.215,10.694,330.27,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
9.5,0.2,2.2,-2.1,0.231,1.271,-0.17,-0.271,10.514,330.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
10,0.2,2.3,-2.2,0.909,1.355,-0.082,-0.297,10.273,330.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
10.5,0.2,2.2,-2.1,1.482,1.29,0.007,-0.276,9.992,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
11,0.2,2.1,-2,1.88,1.057,0.123,-0.224,9.665,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
11.5,0.2,2,-1.9,2.06,0.72,0.211,-0.174,9.402,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
12,0.2,1.9,-1.8,2.004,0.293,0.299,-0.068,9.156,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
12.5,0.2,1.8,-1.7,1.724,-0.137,0.325,0.038,9.065,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
13,0.2,1.7,-1.6,1.263,-0.546,0.364,0.135,8.993,329.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
13.5,0.2,1.6,-1.5,0.678,-0.863,0.334,0.239,9.101,330.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
14,0.2,1.5,-1.4,0.046,-1.069,0.303,0.284,9.215,330.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
14.5,0.2,1.4,-1.3,-0.564,-1.143,0.212,0.32,9.454,330.37,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
