Time(s),Time(m),"Roll (deg, +ve R)","Pitch (deg, +ve UP)",Heave (m),Heave Velocity (m/s),AX (m/s^2),AY (m/s^2),AZ (m/s^2),Vessel heading (degT),SOG (knots),COG (M deg),STATUS_MRU (1=OK),STATUS_GYRO (1=OK),STATUS_WIND (1=OK),STATUS_GPS (SOG_VOG) (1=OK),GPS Lat,GPS Lon,Visibility,Air Pressure,Air Temperature,Air Humidity,WX code,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct
0,0,-0.113,-0.125,0.828,0.848,-0.04,-0.116,10.094,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
0.5,0,-0.053,-0.271,1.161,0.828,-0.013,-0.188,10.014,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
1,0,0.031,-0.434,1.407,0.752,0.034,-0.223,9.91,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
1.5,0,0.135,-0.609,1.55,0.629,0.08,-0.224,9.801,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
2,0,0.252,-0.784,1.58,0.449,0.147,-0.184,9.656,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
2.5,0,0.378,-0.945,1.488,0.224,0.207,-0.108,9.515,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
3,0.1,0.494,-1.079,1.271,-0.047,0.275,-0.024,9.341,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
3.5,0.1,0.594,-1.168,0.931,-0.347,0.316,0.056,9.213,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
4,0.1,0.667,-1.196,0.484,-0.651,0.349,0.147,9.111,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
4.5,0.1,0.704,-1.148,-0.043,-0.926,0.349,0.231,9.095,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
5,0.1,0.698,-1.026,-0.607,-1.127,0.315,0.338,9.164,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
5.5,0.1,0.647,-0.835,-1.151,-1.223,0.234,0.401,9.34,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
6,0.1,0.549,-0.593,-1.613,-1.178,0.128,0.436,9.59,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
6.5,0.1,0.415,-0.325,-1.932,-0.996,0.01,0.384,9.895,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
7,0.1,0.255,-0.06,-2.057,-0.668,-0.111,0.277,10.225,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
7.5,0.1,0.093,0.167,-1.958,-0.252,-0.189,0.134,10.472,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
8,0.1,-0.048,0.334,-1.637,0.213,-0.258,-0.003,10.681,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
8.5,0.1,-0.152,0.409,-1.122,0.657,-0.255,-0.137,10.712,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
9,0.2,-0.199,0.392,-0.476,1.022,-0.245,-0.215,10.694,5,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,#NAME?,1000,1,2000,2,3000,3,4000,4
