Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem)
0,0,20,-5
0.25,0,20,-5
0.5,0,20,-5
0.75,0,20,-5
1,0,20,-5
1.25,0,20,-5
1.5,0,20,-5
1.75,0,20,-5
2,0,20,-5
2.25,0,20,-5
2.5,0,20,-5
2.75,0,20,-5
3,0.1,20,-5
3.25,0.1,20,-5
3.5,0.1,20,-5
3.75,0.1,20,-5
4,0.1,20,-5
4.25,0.1,20,-5
4.5,0.1,20,-5
4.75,0.1,20,-5
5,0.1,20,-5
5.25,0.1,20,-5
5.5,0.1,20,-5
5.75,0.1,20,-5
6,0.1,20,-5
6.25,0.1,20,-5
6.5,0.1,20,-5
6.75,0.1,20,-5
7,0.1,20,-5
7.25,0.1,20,-5
7.5,0.1,20,-5
7.75,0.1,20,-5
8,0.1,20,-5
8.25,0.1,20,-5
8.5,0.1,20,-5
8.75,0.1,20,-5
9,0.2,20,-5
9.25,0.2,20,-5
9.5,0.2,20,-5
9.75,0.2,20,-5
10,0.2,20,-5
10.25,0.2,20,-5
10.5,0.2,20,-5
10.75,0.2,20,-5
11,0.2,20,-5
11.25,0.2,20,-5
11.5,0.2,20,-5
11.75,0.2,20,-5
12,0.2,20,-5
12.25,0.2,20,-5
12.5,0.2,20,-5
12.75,0.2,20,-5
13,0.2,20,-5
13.25,0.2,20,-5
13.5,0.2,20,-5
13.75,0.2,20,-5
14,0.2,20,-5
14.25,0.2,20,-5
14.5,0.2,20,-5
14.75,0.2,20,-5
15,0.3,20,-5
15.25,0.3,20,-5
15.5,0.3,20,-5
15.75,0.3,20,-5
16,0.3,20,-5
16.25,0.3,20,-5
16.5,0.3,20,-5
16.75,0.3,20,-5
17,0.3,20,-5
17.25,0.3,20,-5
17.5,0.3,20,-5
17.75,0.3,20,-5
18,0.3,20,-5
18.25,0.3,20,-5
18.5,0.3,20,-5
18.75,0.3,20,-5
19,0.3,20,-5
19.25,0.3,20,-5
19.5,0.3,20,-5
19.75,0.3,20,-5
20,0.3,20,-5
20.25,0.3,20,-5
20.5,0.3,20,-5
20.75,0.3,20,-5
21,0.4,20,-5
21.25,0.4,20,-5
21.5,0.4,20,-5
21.75,0.4,20,-5
22,0.4,20,-5
22.25,0.4,20,-5
22.5,0.4,20,-5
22.75,0.4,20,-5
23,0.4,20,-5
23.25,0.4,20,-5
23.5,0.4,20,-5
23.75,0.4,20,-5
24,0.4,20,-5
24.25,0.4,20,-5
24.5,0.4,20,-5
24.75,0.4,20,-5
25,0.4,20,-5
25.25,0.4,20,-5
25.5,0.4,20,-5
25.75,0.4,20,-5
26,0.4,20,-5
26.25,0.4,20,-5
26.5,0.4,20,-5
26.75,0.4,20,-5
27,0.5,20,-5
27.25,0.5,20,-5
27.5,0.5,20,-5
27.75,0.5,20,-5
28,0.5,20,-5
28.25,0.5,20,-5
28.5,0.5,20,-5
28.75,0.5,20,-5
29,0.5,20,-5
29.25,0.5,20,-5
29.5,0.5,20,-5
29.75,0.5,20,-5
30,0.5,20,-5
30.25,0.5,20,-5
30.5,0.5,20,-5
30.75,0.5,20,-5
31,0.5,20,-5
31.25,0.5,20,-5
31.5,0.5,20,-5
31.75,0.5,20,-5
32,0.5,20,-5
32.25,0.5,20,-5
32.5,0.5,20,-5
32.75,0.5,20,-5
33,0.6,20,-5
33.25,0.6,20,-5
33.5,0.6,20,-5
33.75,0.6,20,-5
34,0.6,20,-5
34.25,0.6,20,-5
34.5,0.6,20,-5
34.75,0.6,20,-5
35,0.6,20,-5
35.25,0.6,20,-5
35.5,0.6,20,-5
35.75,0.6,20,-5
36,0.6,20,-5
36.25,0.6,20,-5
36.5,0.6,20,-5
36.75,0.6,20,-5
37,0.6,20,-5
37.25,0.6,20,-5
37.5,0.6,20,-5
37.75,0.6,20,-5
38,0.6,20,-5
38.25,0.6,20,-5
38.5,0.6,20,-5
38.75,0.6,20,-5
39,0.7,20,-5
39.25,0.7,20,-5
39.5,0.7,20,-5
39.75,0.7,20,-5
40,0.7,20,-5
40.25,0.7,20,-5
40.5,0.7,20,-5
40.75,0.7,20,-5
41,0.7,20,-5
41.25,0.7,20,-5
41.5,0.7,20,-5
41.75,0.7,20,-5
42,0.7,20,-5
42.25,0.7,20,-5
42.5,0.7,20,-5
42.75,0.7,20,-5
43,0.7,20,-5
43.25,0.7,20,-5
43.5,0.7,20,-5
43.75,0.7,20,-5
44,0.7,20,-5
44.25,0.7,20,-5
44.5,0.7,20,-5
44.75,0.7,20,-5
45,0.8,20,-5
45.25,0.8,20,-5
45.5,0.8,20,-5
45.75,0.8,20,-5
46,0.8,20,-5
46.25,0.8,20,-5
46.5,0.8,20,-5
46.75,0.8,20,-5
47,0.8,20,-5
47.25,0.8,20,-5
47.5,0.8,20,-5
47.75,0.8,20,-5
48,0.8,20,-5
48.25,0.8,20,-5
48.5,0.8,20,-5
48.75,0.8,20,-5
49,0.8,20,-5
49.25,0.8,20,-5
49.5,0.8,20,-5
49.75,0.8,20,-5
50,0.8,20,-5
50.25,0.8,20,-5
50.5,0.8,20,-5
50.75,0.8,20,-5
51,0.9,20,-5
51.25,0.9,20,-5
51.5,0.9,20,-5
51.75,0.9,20,-5
52,0.9,20,-5
52.25,0.9,20,-5
52.5,0.9,20,-5
52.75,0.9,20,-5
53,0.9,20,-5
53.25,0.9,20,-5
53.5,0.9,20,-5
53.75,0.9,20,-5
54,0.9,20,-5
54.25,0.9,20,-5
54.5,0.9,20,-5
54.75,0.9,20,-5
55,0.9,20,-5
55.25,0.9,20,-5
55.5,0.9,20,-5
55.75,0.9,20,-5
56,0.9,20,-5
56.25,0.9,20,-5
56.5,0.9,20,-5
56.75,0.9,20,-5
57,1,20,-5
57.25,1,20,-5
57.5,1,20,-5
57.75,1,20,-5
58,1,20,-5
58.25,1,20,-5
58.5,1,20,-5
58.75,1,20,-5
59,1,20,-5
59.25,1,20,-5
59.5,1,20,-5
59.75,1,20,-5
60,1,20,-5
