Time(s),Time(m),"Roll (deg, +ve R)","Pitch (deg, +ve UP)",Heave (m),Heave Velocity (m/s),AX (m/s^2),AY (m/s^2),AZ (m/s^2),Vessel heading (degT),SOG (knots),COG (M deg),STATUS_MRU (1=OK),STATUS_GYRO (1=OK),STATUS_WIND (1=OK),STATUS_GPS (SOG_VOG) (1=OK),GPS Lat,GPS Lon,Visibility,Air Pressure,Air Temperature,Air Humidity,WX code,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct
19800,0,-0.758,-0.895,0.687,-0.392,0.224,-0.3,9.4,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19800.5,0.0,-0.743,-0.9,0.316,-0.541,0.204,-0.221,9.455,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19801,0.0,-0.714,-0.856,-0.063,-0.632,0.19,-0.168,9.521,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19801.5,0.0,-0.673,-0.774,-0.415,-0.662,0.156,-0.112,9.611,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19802,0.0,-0.622,-0.662,-0.712,-0.635,0.114,-0.042,9.707,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19802.5,0.0,-0.563,-0.531,-0.932,-0.561,0.077,-0.02,9.803,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19803,0.1,-0.497,-0.393,-1.063,-0.446,0.044,-0.013,9.886,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19803.5,0.1,-0.427,-0.255,-1.1,-0.307,0.012,-0.02,9.959,280.87,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19804,0.1,-0.359,-0.127,-1.046,-0.153,-0.009,-0.064,10.012,280.87,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19804.5,0.1,-0.297,-0.016,-0.914,0,-0.023,-0.107,10.053,280.87,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19805,0.1,-0.243,0.075,-0.716,0.151,-0.039,-0.122,10.091,280.87,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19805.5,0.1,-0.204,0.139,-0.468,0.29,-0.046,-0.127,10.108,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19806,0.1,-0.204,0.139,-0.468,0.29,-0.046,-0.127,10.108,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19806.5,0.1,-0.182,0.166,0.109,0.507,-0.053,-0.067,10.097,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19807,0.1,-0.204,0.129,0.396,0.564,-0.045,-0.031,10.057,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19807.5,0.1,-0.244,0.059,0.652,0.576,-0.025,0.006,9.981,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19808,0.1,-0.295,-0.038,0.857,0.54,-0.006,0.059,9.904,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19808.5,0.1,-0.353,-0.155,0.993,0.458,0.028,0.107,9.798,280.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19809,0.2,-0.41,-0.286,1.046,0.334,0.056,0.146,9.708,280.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19809.5,0.2,-0.457,-0.421,1.011,0.18,0.085,0.14,9.611,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19810,0.2,-0.494,-0.547,0.889,0.006,0.113,0.083,9.543,281.07,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19810.5,0.2,-0.517,-0.657,0.689,-0.167,0.14,-0.022,9.495,281.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19811,0.2,-0.526,-0.735,0.43,-0.325,0.156,-0.176,9.481,281.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19811.5,0.2,-0.523,-0.78,0.136,-0.449,0.16,-0.258,9.499,281.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19812,0.2,-0.509,-0.785,-0.167,-0.535,0.163,-0.31,9.547,281.17,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19812.5,0.2,-0.49,-0.752,-0.453,-0.567,0.15,-0.284,9.625,280.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19813,0.2,-0.466,-0.682,-0.694,-0.548,0.127,-0.228,9.722,280.97,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19813.5,0.2,-0.437,-0.584,-0.869,-0.472,0.102,-0.146,9.827,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19814,0.2,-0.409,-0.467,-0.96,-0.357,0.076,-0.068,9.916,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19814.5,0.2,-0.383,-0.342,-0.963,-0.211,0.04,-0.024,10.005,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19815,0.3,-0.361,-0.219,-0.882,-0.058,0.02,0.002,10.044,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19815.5,0.3,-0.343,-0.106,-0.729,0.088,0.003,0.006,10.064,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19816,0.3,-0.334,-0.012,-0.524,0.209,-0.006,0.013,10.045,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19816.5,0.3,-0.331,0.062,-0.292,0.299,-0.018,0.004,10.022,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19817,0.3,-0.344,0.108,-0.055,0.35,-0.014,-0.009,9.962,280.67,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19817.5,0.3,-0.365,0.128,0.163,0.362,-0.012,-0.032,9.907,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19818,0.3,-0.396,0.123,0.346,0.342,-0.011,-0.075,9.852,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
19818.5,0.3,-0.435,0.091,0.481,0.297,-0.009,-0.137,9.81,280.77,0,0,1,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
