Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
19800,0.0,10,306.5,,,
19800.25,0.0,10,306.5,,,
19800.5,0.0,10,315.3,,,
19800.75,0.0,10,315.3,,,
19801,0.0,10,315.3,,,
19801.25,0.0,10,315.3,,,
19801.5,0.0,10,309.1,,,
19801.75,0.0,10,309.1,,,
19802,0.0,10,309.1,,,
19802.25,0.0,10,309.1,,,
19802.5,0.0,10,306.5,,,
19802.75,0.0,10,306.5,,,
19803,0.1,10,306.5,,,
19803.25,0.1,10,306.5,,,
19803.5,0.1,10,311.4,,,
19803.75,0.1,10,311.4,,,
19804,0.1,10,311.4,,,
19804.25,0.1,10,311.4,,,
19804.5,0.1,10,313.3,,,
19804.75,0.1,10,313.3,,,
19805,0.1,10,313.3,,,
19805.25,0.1,10,313.3,,,
19805.5,0.1,10,311,,,
19805.75,0.1,10,311,,,
19806,0.1,10,311,,,
19806.25,0.1,10,311,,,
19806.5,0.1,10,309.9,,,
19806.75,0.1,10,309.9,,,
19807,0.1,10,309.9,,,
19807.25,0.1,10,309.9,,,
19807.5,0.1,10,311.5,,,
19807.75,0.1,10,311.5,,,
19808,0.1,10,311.5,,,
19808.25,0.1,10,311.5,,,
19808.5,0.1,10,313.8,,,
19808.75,0.1,10,313.8,,,
19809,0.2,10,313.8,,,
19809.25,0.2,10,313.8,,,
19809.5,0.2,10,308.5,,,
19809.75,0.2,10,308.5,,,
19810,0.2,10,308.5,,,
19810.25,0.2,10,308.5,,,
19810.5,0.2,10,307.7,,,
19810.75,0.2,10,307.7,,,
19811,0.2,10,307.7,,,
19811.25,0.2,10,307.7,,,
19811.5,0.2,10,310.6,,,
19811.75,0.2,10,310.6,,,
19812,0.2,10,310.6,,,
19812.25,0.2,10,310.6,,,
19812.5,0.2,10,307.9,,,
19812.75,0.2,10,307.9,,,
19813,0.2,10,307.9,,,
19813.25,0.2,10,307.9,,,
19813.5,0.2,10,307.5,,,
19813.75,0.2,10,307.5,,,
19814,0.2,10,307.5,,,
19814.25,0.2,10,307.5,,,
19814.5,0.2,10,307.3,,,
19814.75,0.2,10,307.3,,,
19815,0.3,10,307.3,,,
19815.25,0.3,10,307.3,,,
19815.5,0.3,10,311.4,,,
19815.75,0.3,10,311.4,,,
19816,0.3,10,311.4,,,
19816.25,0.3,10,311.4,,,
19816.5,0.3,10,315.6,,,
19816.75,0.3,10,315.6,,,
19817,0.3,10,315.6,,,
19817.25,0.3,10,315.6,,,
19817.5,0.3,10,311.3,,,
19817.75,0.3,10,311.3,,,
19818,0.3,10,311.3,,,
19818.25,0.3,10,311.3,,,
19818.5,0.3,10,312.5,,,
19818.75,0.3,10,312.5,,,
19819,0.3,10,312.5,,,
19819.25,0.3,10,312.5,,,
19819.5,0.3,10,312.2,,,
19819.75,0.3,10,312.2,,,
19820,0.3,10,312.2,,,
19820.25,0.3,10,312.2,,,
19820.5,0.3,10,312.1,,,
19820.75,0.3,10,312.1,,,
19821,0.4,10,312.1,,,
19821.25,0.4,10,312.1,,,
19821.5,0.4,10,310.5,,,
19821.75,0.4,10,310.5,,,
19822,0.4,10,310.5,,,
19822.25,0.4,10,310.5,,,
19822.5,0.4,10,312.4,,,
19822.75,0.4,10,312.4,,,
19823,0.4,10,312.4,,,
19823.25,0.4,10,312.4,,,
19823.5,0.4,10,304.9,,,
19823.75,0.4,10,304.9,,,
19824,0.4,10,304.9,,,
19824.25,0.4,10,304.9,,,
19824.5,0.4,10,308.8,,,
19824.75,0.4,10,308.8,,,
19825,0.4,10,308.8,,,
19825.25,0.4,10,308.8,,,
19825.5,0.4,10,308.9,,,
19825.75,0.4,10,308.9,,,
19826,0.4,10,308.9,,,
19826.25,0.4,10,308.9,,,
19826.5,0.4,10,310.3,,,
19826.75,0.4,10,310.3,,,
19827,0.5,10,310.3,,,
19827.25,0.5,10,310.3,,,
19827.5,0.5,10,310.4,,,
19827.75,0.5,10,310.4,,,
19828,0.5,10,310.4,,,
19828.25,0.5,10,310.4,,,
19828.5,0.5,10,312.8,,,
19828.75,0.5,10,312.8,,,
19829,0.5,10,312.8,,,
19829.25,0.5,10,312.8,,,
19829.5,0.5,10,310.7,,,
19829.75,0.5,10,310.7,,,
19830,0.5,10,310.7,,,
19830.25,0.5,10,310.7,,,
19830.5,0.5,10,312.5,,,
19830.75,0.5,10,312.5,,,
19831,0.5,10,312.5,,,
19831.25,0.5,10,312.5,,,
19831.5,0.5,10,308.2,,,
19831.75,0.5,10,308.2,,,
19832,0.5,10,308.2,,,
19832.25,0.5,10,308.2,,,
19832.5,0.5,10,308.3,,,
19832.75,0.5,10,308.3,,,
19833,0.6,10,308.3,,,
19833.25,0.6,10,308.3,,,
19833.5,0.6,10,309.6,,,
19833.75,0.6,10,309.6,,,
19834,0.6,10,309.6,,,
19834.25,0.6,10,309.6,,,
19834.5,0.6,10,309.3,,,
19834.75,0.6,10,309.3,,,
19835,0.6,10,309.3,,,
19835.25,0.6,10,309.3,,,
19835.5,0.6,10,311.1,,,
19835.75,0.6,10,311.1,,,
19836,0.6,10,311.1,,,
19836.25,0.6,10,311.1,,,
19836.5,0.6,10,314.1,,,
19836.75,0.6,10,314.1,,,
19837,0.6,10,314.1,,,
19837.25,0.6,10,314.1,,,
19837.5,0.6,10,310.4,,,
19837.75,0.6,10,310.4,,,
19838,0.6,10,310.4,,,
19838.25,0.6,10,310.4,,,
19838.5,0.6,10,311.2,,,
19838.75,0.6,10,311.2,,,
19839,0.7,10,311.2,,,
19839.25,0.7,10,311.2,,,
19839.5,0.7,10,309.4,,,
19839.75,0.7,10,309.4,,,
19840,0.7,10,309.4,,,
19840.25,0.7,10,309.4,,,
19840.5,0.7,10,307.9,,,
19840.75,0.7,10,307.9,,,
19841,0.7,10,307.9,,,
19841.25,0.7,10,307.9,,,
19841.5,0.7,10,309.6,,,
19841.75,0.7,10,309.6,,,
19842,0.7,10,309.6,,,
19842.25,0.7,10,309.6,,,
19842.5,0.7,10,312.6,,,
19842.75,0.7,10,312.6,,,
19843,0.7,10,312.6,,,
19843.25,0.7,10,312.6,,,
19843.5,0.7,10,314.6,,,
19843.75,0.7,10,314.6,,,
19844,0.7,10,314.6,,,
19844.25,0.7,10,314.6,,,
19844.5,0.7,10,314.3,,,
19844.75,0.7,10,314.3,,,
19845,0.8,10,314.3,,,
